aircraft_id,start_time,end_time,time_to_destination,moving_time,idle_time,status
A0,5.0,13.0,8.0,8.0,0,planned
A1,10.0,21.0,11.0,11.0,0,planned
A2,15.0,20.0,5.0,5.0,0,planned
A3,20.0,26.0,6.0,6.0,0,planned
A4,25.0,30.0,5.0,5.0,0,planned
A5,30.0,39.0,9.0,9.0,0,planned
A6,35.0,43.0,8.0,8.0,0,planned
A7,40.0,52.0,12.0,12.0,0,planned
A8,45.0,50.0,5.0,5.0,0,planned
A9,50.0,59.0,9.0,9.0,0,planned
