aircraft_id,start_time,end_time,time_to_destination
A0,8.0,18.9,10.9
A1,16.0,27.9,11.9
A2,24.0,39.2,15.2
A3,32.0,43.2,11.2
A4,40.0,55.0,15.0
A5,48.0,62.8,14.8
