aircraft_id,start_time,end_time,time_to_destination
A0,6.0,17.9,11.9
A1,12.0,28.1,16.1
A2,18.0,30.3,12.3
A3,24.0,36.0,12.0
A4,30.1,46.1,16.0
A5,36.1,48.3,12.2
A6,42.1,57.4,15.3
A7,48.4,65.2,16.8
