aircraft_id,start_time,end_time,time_to_destination
A0,5.0,18.8,13.8
A1,10.0,26.1,16.1
A2,15.0,29.2,14.2
A3,20.0,30.8,10.8
A4,25.0,42.7,17.7
A5,30.0,45.6,15.6
A6,35.0,48.7,13.7
A7,40.3,58.2,17.9
A8,45.3,64.1,18.8
A9,50.3,60.7,10.4
