aircraft_id,start_time,end_time,time_to_destination
A0,5.0,17.9,12.9
A1,10.0,28.2,18.2
A2,15.0,29.1,14.1
A3,20.0,30.2,10.2
A4,25.0,39.1,14.1
A5,30.0,43.3,13.3
A6,35.0,53.3,18.3
A7,40.0,56.5,16.5
A8,45.0,62.9,17.9
A9,50.0,62.2,12.2
