aircraft_id,start_time,end_time,time_to_destination
A0,6.0,20.1,14.1
A1,12.0,28.1,16.1
A2,18.0,28.8,10.8
A3,24.0,34.2,10.2
A4,30.0,44.4,14.4
A5,36.0,54.1,18.1
A6,42.0,54.2,12.2
A7,48.0,60.8,12.8
