aircraft_id,start_time,end_time,time_to_destination
A0,6.0,16.9,10.9
A1,12.0,26.2,14.2
A2,18.0,32.6,14.6
A3,24.0,40.1,16.1
A4,30.0,43.1,13.1
A5,36.0,50.1,14.1
A6,42.0,55.3,13.3
A7,48.0,60.8,12.8
