aircraft_id,start_time,end_time,time_to_destination
A0,5.0,16.9,11.9
A1,10.0,24.8,14.8
A2,15.0,32.1,17.1
A3,20.0,33.4,13.4
A4,25.0,38.2,13.2
A5,30.0,43.9,13.9
A6,35.0,53.2,18.2
A7,40.0,53.3,13.3
A8,45.0,59.2,14.2
A9,50.1,73.3,23.2
