aircraft_id,start_time,end_time,time_to_destination
A0,8.0,19.9,11.9
A1,16.0,28.9,12.9
A2,24.0,35.2,11.2
A3,32.0,45.1,13.1
A4,40.0,53.3,13.3
A5,48.0,59.2,11.2
