aircraft_id,start_time,end_time,time_to_destination
A0,5.0,17.9,12.9
A1,10.0,20.8,10.8
A2,15.0,33.1,18.1
A3,20.0,31.1,11.1
A4,25.0,39.6,14.6
A5,30.0,44.8,14.8
A6,35.0,49.4,14.4
A7,40.0,54.0,14.0
A8,45.1,64.0,18.9
A9,50.1,68.3,18.2
