aircraft_id,start_time,end_time,time_to_destination
A0,8.0,22.9,14.9
A1,16.0,31.0,15.0
A2,24.0,33.9,9.9
A3,32.0,48.1,16.1
A4,40.0,55.3,15.3
A5,48.0,64.8,16.8
