aircraft_id,start_time,end_time,time_to_destination
A0,5.0,20.8,15.8
A1,10.0,19.8,9.8
A2,15.0,25.8,10.8
A3,20.0,30.2,10.2
A4,25.5,41.6,16.1
A5,30.5,44.9,14.4
A6,35.5,47.4,11.9
A7,40.5,55.8,15.3
A8,45.5,62.8,17.3
A9,50.5,65.3,14.8
