aircraft_id,start_time,end_time,time_to_destination
A0,8.0,26.1,18.1
A1,16.0,32.0,16.0
A2,24.0,37.9,13.9
A3,32.0,46.9,14.9
A4,40.0,52.9,12.9
A5,48.0,60.2,12.2
