aircraft_id,start_time,end_time,time_to_destination,num_aircraft,run_id
A0,8.0,23.0,15.0,6,1
A1,16.0,29.9,13.9,6,1
A2,24.0,40.8,16.8,6,1
A3,32.0,50.9,18.9,6,1
A4,40.0,54.2,14.2,6,1
A5,48.0,64.2,16.2,6,1
A0,8.0,22.0,14.0,6,2
A1,16.0,32.1,16.1,6,2
A2,24.0,40.4,16.4,6,2
A3,32.0,49.1,17.1,6,2
A4,40.0,56.2,16.2,6,2
A5,48.0,63.8,15.8,6,2
A0,8.0,21.0,13.0,6,3
A1,16.0,31.1,15.1,6,3
A2,24.0,36.3,12.3,6,3
A3,32.0,50.1,18.1,6,3
A4,40.0,55.8,15.8,6,3
A5,48.0,63.2,15.2,6,3
A0,8.0,19.9,11.9,6,4
A1,16.0,26.9,10.9,6,4
A2,24.0,36.2,12.2,6,4
A3,32.0,44.2,12.2,6,4
A4,40.0,52.8,12.8,6,4
A5,48.0,65.8,17.8,6,4
A0,8.0,18.9,10.9,6,5
A1,16.0,33.2,17.2,6,5
A2,24.0,38.2,14.2,6,5
A3,32.0,45.9,13.9,6,5
A4,40.0,56.1,16.1,6,5
A5,48.0,63.2,15.2,6,5
A0,6.0,24.1,18.1,8,1
A1,12.0,21.9,9.9,8,1
A2,18.0,37.2,19.2,8,1
A3,24.0,36.3,12.3,8,1
A4,30.0,44.2,14.2,8,1
A5,36.2,50.8,14.6,8,1
A6,42.2,60.6,18.4,8,1
A0,6.0,20.1,14.1,8,2
A1,12.0,22.8,10.8,8,2
A2,18.0,35.9,17.9,8,2
A3,24.0,38.4,14.4,8,2
A4,30.0,48.1,18.1,8,2
A5,36.0,49.3,13.3,8,2
A6,42.0,63.4,21.4,8,2
A7,48.0,63.3,15.3,8,2
A0,6.0,22.1,16.1,8,3
A1,12.0,27.2,15.2,8,3
A2,18.0,32.1,14.1,8,3
A3,24.0,38.4,14.4,8,3
A4,30.0,44.1,14.1,8,3
A5,36.0,48.2,12.2,8,3
A6,42.0,66.6,24.6,8,3
A7,48.0,63.2,15.2,8,3
A0,6.0,21.1,15.1,8,4
A1,12.0,24.6,12.6,8,4
A2,18.0,33.1,15.1,8,4
A3,24.4,38.6,14.2,8,4
A4,30.4,45.7,15.3,8,4
A5,36.4,51.7,15.3,8,4
A6,42.4,65.7,23.3,8,4
A7,48.4,64.6,16.2,8,4
A0,6.0,20.1,14.1,8,5
A1,12.0,29.1,17.1,8,5
A2,18.0,32.1,14.1,8,5
A3,24.0,39.4,15.4,8,5
A4,30.0,45.4,15.4,8,5
A5,36.1,54.1,18.0,8,5
A6,42.1,55.3,13.2,8,5
A0,5.0,16.9,11.9,10,1
A1,10.0,26.1,16.1,10,1
A2,15.0,26.9,11.9,10,1
A3,20.0,36.7,16.7,10,1
A4,25.0,41.3,16.3,10,1
A5,30.0,47.1,17.1,10,1
A7,40.0,67.6,27.6,10,1
A0,5.0,17.1,12.1,10,2
A1,10.0,24.3,14.3,10,2
A2,15.3,31.6,16.3,10,2
A3,20.3,36.2,15.9,10,2
A4,25.3,41.7,16.4,10,2
A5,30.3,48.6,18.3,10,2
A6,35.4,48.7,13.3,10,2
A7,40.4,70.1,29.7,10,2
A0,5.0,16.9,11.9,10,3
A1,10.0,23.9,13.9,10,3
A2,15.0,31.3,16.3,10,3
A3,20.0,33.9,13.9,10,3
A4,25.0,34.4,9.4,10,3
A5,30.0,47.1,17.1,10,3
A6,35.0,50.4,15.4,10,3
A7,40.0,63.5,23.5,10,3
A8,45.0,68.8,23.8,10,3
A0,5.0,22.2,17.2,10,4
A1,10.0,24.2,14.2,10,4
A2,15.0,26.9,11.9,10,4
A3,20.0,34.9,14.9,10,4
A4,25.0,42.4,17.4,10,4
A5,30.0,50.2,20.2,10,4
A7,40.0,61.3,21.3,10,4
A9,50.0,67.2,17.2,10,4
A0,5.0,18.8,13.8,10,5
A1,10.0,25.8,15.8,10,5
A2,15.0,33.2,18.2,10,5
A3,20.0,33.3,13.3,10,5
A4,25.0,41.6,16.6,10,5
A5,30.0,48.1,18.1,10,5
A6,35.0,67.8,32.8,10,5
A8,45.0,58.2,13.2,10,5
